judge,signal,condition,threshold,n,n_accepted,n_escalated,accepted_share,slip_through,error_among_accepted,kappa_among_accepted
Qwen2.5-7B,conf_lp,clean,0.96,1836,1829,7,0.9961873638344226,0.9910313901345291,0.24166211044286495,0.5163772412819425
Qwen2.5-7B,conf_lp,clean,0.97,1836,1827,9,0.9950980392156863,0.9887892376681614,0.2413793103448276,0.5168228967705915
Qwen2.5-7B,conf_lp,clean,0.98,1836,1826,10,0.9945533769063181,0.9887892376681614,0.2415115005476451,0.5166186246249779
Qwen2.5-7B,conf_lp,clean,0.99,1836,1824,12,0.9934640522875817,0.9887892376681614,0.24177631578947367,0.5160878134001343
Qwen2.5-7B,conf_lp,verbose,0.5,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_lp,verbose,0.51,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_lp,verbose,0.52,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_lp,verbose,0.53,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_lp,verbose,0.54,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_lp,verbose,0.55,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_lp,verbose,0.56,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_lp,verbose,0.57,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_lp,verbose,0.58,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_lp,verbose,0.59,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_lp,verbose,0.6,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_lp,verbose,0.61,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_lp,verbose,0.62,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_lp,verbose,0.63,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_lp,verbose,0.64,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_lp,verbose,0.65,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_lp,verbose,0.66,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_lp,verbose,0.67,1836,1836,0,1.0,1.0,0.23202614379084968,0.5358419620857131
Qwen2.5-7B,conf_lp,verbose,0.68,1836,1835,1,0.9994553376906318,1.0,0.2321525885558583,0.5355617213168323
Qwen2.5-7B,conf_lp,verbose,0.69,1836,1835,1,0.9994553376906318,1.0,0.2321525885558583,0.5355617213168323
